0 13.0 10.0 2.0 16.0 0.18 0.88 0.85 0.95 0.0 0.73 0.79 0.7 0.61 0.0 0.28 0.57 0.68 0.69 0.0 0.34 0.72 0.91 0.8 0.0
0 20.0 29.0 27.0 0.0 0.91 0.84 0.6 0.11 0.0 0.03 0.62 0.42 0.99 0.0 0.36 0.42 0.44 0.47 0.0 0.02 0.31 0.96 0.91 0.0
0 17.0 21.0 5.0 26.0 0.08 0.81 0.54 0.91 0.0 0.01 0.48 0.3 0.23 0.0 0.96 0.41 0.87 0.72 0.0 0.43 0.47 0.6 0.92 0.0
0 52.0 2.0 23.0 9.0 0.17 0.02 0.55 0.49 0.0 0.16 0.08 0.85 0.78 0.0 0.7 0.38 0.59 0.59 0.0 0.27 0.82 0.36 0.2 0.0
0 15.0 9.0 7.0 12.0 0.3 0.4 0.65 0.51 0.0 0.7 0.52 0.66 0.79 0.0 0.48 0.29 0.44 0.88 0.0 0.62 0.87 0.02 0.45 0.0
0 50.0 6.0 28.0 9.0 0.85 0.52 0.37 0.48 0.0 0.58 0.28 0.18 0.68 0.0 0.84 0.64 0.26 0.53 0.0 0.46 0.69 0.71 0.48 0.0
0 16.0 10.0 8.0 4.0 0.18 0.92 0.4 0.05 0.0 0.41 0.21 0.68 0.59 0.0 0.64 0.85 0.58 0.92 0.0 0.08 0.68 0.05 0.71 0.0
0 6.0 2.0 17.0 17.0 0.06 0.41 0.11 0.35 0.0 0.75 0.46 0.71 0.88 0.0 0.9 0.33 0.74 0.47 0.0 0.46 0.18 0.1 0.79 0.0
0 20.0 20.0 4.0 3.0 0.3 0.69 0.69 0.79 0.0 0.79 0.35 0.45 0.25 0.0 0.71 0.38 0.54 0.35 0.0 0.78 0.5 0.72 0.21 0.0
0 44.0 24.0 27.0 1.0 0.29 0.15 0.14 0.87 0.0 0.05 0.41 0.73 0.16 0.0 0.43 0.55 0.16 0.4 0.0 0.81 0.05 0.43 0.74 0.0
1 17.0 29.0 12.0 14.0 0.5 0.53 0.55 0.73 0.0 0.32 0.5 0.34 0.56 0.0 0.0 0.59 0.33 0.65 0.0 0.04 0.29 0.55 0.25 0.0
0 29.0 29.0 24.0 14.0 0.75 0.29 0.46 0.31 0.0 0.0 0.81 0.96 0.78 0.0 0.56 0.65 0.52 0.85 0.0 0.67 0.45 0.08 0.81 0.0
0 25.0 12.0 16.0 21.0 0.91 0.27 0.8 0.81 0.0 0.84 0.38 0.87 0.01 0.0 0.48 0.65 0.71 0.45 0.0 0.07 0.35 0.08 0.03 0.0
1 15.0 3.0 4.0 7.0 0.49 0.1 0.46 0.42 0.0 0.32 0.22 0.51 0.16 0.0 0.06 0.51 0.93 0.46 0.0 0.52 0.18 0.41 0.44 0.0
0 49.0 16.0 30.0 1.0 0.41 0.1 0.06 0.09 0.0 0.92 0.59 0.9 0.94 0.0 0.1 0.28 0.96 0.94 0.0 0.83 0.52 0.77 0.41 0.0
0 8.0 12.0 17.0 26.0 0.05 0.0 1.0 0.51 0.0 0.4 0.78 0.97 0.54 0.0 0.38 1.0 0.18 0.16 0.0 0.45 0.83 0.47 0.61 0.0
1 2.0 0.0 19.0 0.0 0.43 0.42 0.17 0.65 0.0 0.19 0.66 0.71 0.18 0.0 0.3 0.49 0.91 0.91 0.0 0.75 0.08 0.28 0.08 0.0
1 28.0 25.0 28.0 6.0 0.65 0.13 0.21 0.28 0.0 1.0 0.5 0.85 0.46 0.0 0.86 0.58 0.94 0.0 0.0 0.77 0.49 0.7 0.27 0.0
0 8.0 14.0 10.0 27.0 0.19 0.31 0.81 0.18 0.0 0.87 0.95 0.61 0.68 0.0 0.63 0.75 0.33 0.08 0.0 0.57 0.41 0.98 0.2 0.0
0 40.0 1.0 22.0 31.0 0.91 0.36 0.01 0.76 0.0 0.71 0.93 0.24 0.03 0.0 0.13 0.61 0.32 0.82 0.0 0.41 0.66 0.34 0.89 0.0
0 53.0 8.0 13.0 15.0 0.35 0.52 0.8 0.83 0.0 0.5 0.04 0.98 0.84 0.0 0.78 0.28 0.23 0.4 0.0 0.34 0.25 0.18 0.45 0.0
0 14.0 9.0 31.0 9.0 0.07 0.8 0.03 0.48 0.0 0.36 0.83 0.03 0.6 0.0 0.77 0.56 0.6 0.45 0.0 0.8 0.88 0.92 0.47 0.0
1 28.0 21.0 3.0 29.0 0.58 0.86 0.46 0.21 0.0 0.6 0.43 0.84 0.57 0.0 0.49 0.51 0.43 0.21 0.0 0.42 0.42 0.71 0.93 0.0
1 53.0 15.0 31.0 9.0 0.42 0.03 0.58 0.28 0.0 0.21 0.11 0.49 0.07 0.0 0.48 0.03 0.32 0.43 0.0 0.94 0.97 0.59 0.68 0.0
0 0.0 2.0 5.0 5.0 0.05 0.88 0.06 0.97 0.0 0.14 0.45 0.45 0.67 0.0 0.86 0.0 0.0 0.84 0.0 0.2 0.84 0.45 0.8 0.0
0 52.0 22.0 9.0 24.0 0.78 0.28 0.02 0.74 0.0 0.02 0.62 0.19 0.7 0.0 0.72 0.56 0.06 0.01 0.0 0.34 0.73 0.77 0.63 0.0
0 0.0 29.0 13.0 0.0 0.84 0.63 0.79 0.97 0.0 0.93 0.02 0.17 0.71 0.0 0.6 0.18 0.26 0.46 0.0 0.98 0.04 0.49 0.82 0.0
0 11.0 19.0 12.0 12.0 0.91 0.57 0.32 0.73 0.0 0.88 0.33 0.65 0.92 0.0 0.25 0.79 1.0 0.78 0.0 0.91 0.76 0.95 0.1 0.0
0 10.0 8.0 3.0 11.0 0.75 0.45 0.88 0.42 0.0 0.14 0.44 0.7 0.0 0.0 0.96 0.96 0.58 0.37 0.0 0.23 0.43 0.04 0.18 0.0
1 16.0 17.0 5.0 26.0 0.84 0.04 0.67 0.21 0.0 0.5 0.67 0.02 0.49 0.0 0.84 0.69 0.1 0.07 0.0 0.25 0.04 0.88 0.1 0.0
0 40.0 6.0 30.0 26.0 0.87 0.47 0.14 0.1 0.0 0.98 0.38 0.91 0.96 0.0 0.24 0.56 0.56 0.12 0.0 0.39 0.0 0.32 0.21 0.0
0 3.0 1.0 11.0 20.0 0.75 0.63 0.47 0.15 0.0 0.16 0.05 0.86 0.04 0.0 0.13 0.91 0.68 0.22 0.0 0.63 0.17 0.31 0.57 0.0
1 9.0 19.0 21.0 11.0 0.94 0.23 0.55 0.68 0.0 0.22 0.06 0.32 0.38 0.0 0.01 0.91 0.97 0.94 0.0 0.43 0.85 0.82 0.78 0.0
1 29.0 31.0 21.0 21.0 0.51 0.7 0.88 0.0 0.0 0.63 0.94 0.04 0.41 0.0 0.46 0.84 0.95 0.0 0.0 0.05 0.16 0.2 0.68 0.0
1 16.0 31.0 3.0 20.0 0.84 0.12 0.72 0.69 0.0 0.24 0.12 0.87 0.61 0.0 0.3 0.76 0.7 0.5 0.0 0.33 0.13 0.2 0.63 0.0
0 48.0 25.0 12.0 7.0 0.42 0.87 0.34 0.29 0.0 0.31 0.02 0.26 0.2 0.0 0.72 0.94 0.46 0.84 0.0 0.23 0.44 0.07 0.25 0.0
1 18.0 1.0 11.0 16.0 0.99 0.07 0.08 0.25 0.0 0.43 0.15 0.51 0.01 0.0 0.05 0.02 0.74 0.24 0.0 0.27 0.11 0.53 0.62 0.0
0 42.0 17.0 21.0 9.0 0.43 0.56 0.69 0.58 0.0 0.21 0.66 0.91 0.44 0.0 0.43 0.82 0.2 0.77 0.0 0.48 0.08 0.09 0.45 0.0
0 54.0 14.0 2.0 11.0 0.31 0.37 0.09 0.33 0.0 0.03 0.53 0.93 0.04 0.0 0.7 0.35 0.65 0.37 0.0 0.52 0.28 0.43 0.31 0.0
1 15.0 16.0 22.0 20.0 0.25 0.84 0.6 0.55 0.0 0.09 0.4 0.34 0.45 0.0 0.42 0.46 0.07 1.0 0.0 0.67 0.31 0.65 0.35 0.0
1 34.0 7.0 28.0 20.0 0.6 0.23 0.85 0.36 0.0 0.29 0.64 0.42 0.4 0.0 0.97 0.15 0.53 0.59 0.0 0.72 0.65 0.79 0.89 0.0
0 31.0 24.0 23.0 9.0 0.15 0.76 0.32 0.72 0.0 0.87 0.67 0.59 0.22 0.0 0.85 0.63 0.69 0.71 0.0 0.52 0.57 0.87 0.34 0.0
1 53.0 12.0 21.0 23.0 0.76 0.03 0.14 0.42 0.0 0.44 0.79 0.05 0.76 0.0 0.66 0.57 0.08 0.18 0.0 0.02 0.63 0.47 0.84 0.0
0 52.0 16.0 20.0 10.0 0.25 0.52 0.32 0.5 0.0 0.23 0.1 0.67 0.26 0.0 0.04 0.1 0.95 0.45 0.0 0.06 0.99 0.89 0.22 0.0
1 54.0 21.0 17.0 3.0 0.94 0.17 0.63 0.27 0.0 0.1 0.12 0.43 0.75 0.0 0.44 0.72 0.56 0.78 0.0 0.21 0.41 0.2 0.96 0.0
0 17.0 1.0 20.0 2.0 0.22 0.5 0.24 0.21 0.0 0.11 0.04 0.15 0.85 0.0 0.96 0.66 0.4 0.94 0.0 0.94 0.49 0.74 0.04 0.0
0 51.0 13.0 8.0 6.0 0.32 0.94 0.3 0.81 0.0 0.45 0.04 0.2 0.54 0.0 0.39 0.53 0.62 0.91 0.0 0.19 0.79 0.8 0.92 0.0
0 47.0 23.0 27.0 5.0 0.45 0.71 0.63 0.53 0.0 0.47 0.89 0.1 0.45 0.0 0.17 0.65 0.69 0.36 0.0 0.68 0.15 0.65 0.65 0.0
1 8.0 6.0 30.0 15.0 0.55 0.64 0.12 0.82 0.0 0.32 0.92 0.67 0.27 0.0 0.73 0.91 0.58 0.95 0.0 0.22 0.54 0.48 0.69 0.0
0 20.0 21.0 19.0 30.0 0.2 0.71 0.56 0.98 0.0 0.46 0.94 0.57 0.05 0.0 0.05 0.3 0.08 0.3 0.0 0.73 0.7 0.11 0.74 0.0
